1 Time;2 Number;5 Layers;10 Neurons;15 Epochs;20 Train-Acc;21 Val-Acc;22 Train-F1;27 Val-F1;29 Chunksize;30 Comment;Batch-Size;Clipping;Cutoff;Dataset;Future;Link;NLabels;Report;Runtime;Selection;Shape;Train-Confusion;Train-Loss;Val-Confusion;Val-Loss;Weightdecay
02/10/17 13:43:01;0;3;50;300;0.460;0.487;0.090;0.094;1500;LSTM-freq-1s-1ch-eeg-emg feats;64;25;50;c:\sleep\data\;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

          0       0.00      0.00      0.00         0
          1       0.00      0.00      0.00         0
          2       1.00      0.49      0.66     19584
          3       0.00      0.00      0.00         0
          4       0.00      0.00      0.00         0
          5       0.00      0.00      0.00         0
          6       0.00      0.00      0.00         0

avg / total       1.00      0.49      0.66     19584
";60.54;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(40750L, 59L);"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.50655;"[[ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]
 [ 0.  0.  1.  0.  0.  0.  0.]]";1.45828;1e-05
02/10/17 13:43:23;0;3;50;300;0.785;0.769;0.658;0.572;200;LSTM-freq-1s-1ch-eeg-emg feats;64;25;50;c:\sleep\data\;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

          0       0.66      0.78      0.71      7350
          1       0.17      0.33      0.22      2730
          2       0.83      0.85      0.84     69510
          3       0.67      0.62      0.64     19680
          4       0.55      0.92      0.69      6030
          5       0.92      0.71      0.80     41340
          6       0.06      0.31      0.10       240

avg / total       0.80      0.77      0.78    146880
";166.50;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(305625L, 50L);"[[  8.38e-01   5.49e-02   1.66e-02   3.33e-03   0.00e+00   8.43e-02
    2.50e-03]
 [  8.82e-02   4.12e-01   1.82e-01   3.15e-03   0.00e+00   3.12e-01
    3.15e-03]
 [  3.20e-04   8.00e-03   7.77e-01   3.92e-02   1.07e-04   1.75e-01
    2.13e-04]
 [  8.32e-04   0.00e+00   2.38e-01   6.78e-01   4.70e-02   3.54e-02
    8.32e-04]
 [  0.00e+00   6.05e-04   3.02e-03   2.98e-01   6.97e-01   1.21e-03
    0.00e+00]
 [  0.00e+00   1.97e-03   1.44e-02   4.37e-04   0.00e+00   9.83e-01
    0.00e+00]
 [  7.14e-02   6.19e-02   3.71e-01   5.24e-02   4.76e-03   3.62e-01
    7.62e-02]]";0.44393;"[[  6.56e-01   1.27e-01   9.97e-02   8.59e-03   5.15e-03   8.93e-02
    1.37e-02]
 [  1.35e-01   1.66e-01   2.02e-01   1.10e-02   0.00e+00   4.81e-01
    5.52e-03]
 [  7.13e-03   7.13e-03   8.29e-01   3.98e-02   4.19e-04   1.16e-01
    2.10e-04]
 [  4.15e-03   8.30e-04   2.97e-01   6.73e-01   1.99e-02   4.98e-03
    0.00e+00]
 [  0.00e+00   0.00e+00   7.47e-03   4.39e-01   5.53e-01   0.00e+00
    0.00e+00]
 [  3.78e-03   3.78e-03   7.33e-02   0.00e+00   0.00e+00   9.19e-01
    0.00e+00]
 [  1.36e-01   5.68e-02   3.41e-01   9.09e-02   3.41e-02   2.84e-01
    5.68e-02]]";0.67131;1e-05
02/10/17 14:23:06;1;3;50;150;0.059;0.059;0.016;0.016;500;LSTM-freq-1s-1ch-eeg-emg feats;64;25;50;c:\sleep\data\;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

          0       1.00      0.06      0.11     58752
          1       0.00      0.00      0.00         0
          2       0.00      0.00      0.00         0
          3       0.00      0.00      0.00         0
          4       0.00      0.00      0.00         0
          5       0.00      0.00      0.00         0
          6       0.00      0.00      0.00         0

avg / total       1.00      0.06      0.11     58752
";34.92;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(122250L, 59L);"[[ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]]";nan;"[[ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  0.  0.  0.  0.  0.]]";nan;1e-05
Sat Feb 11 19:02:46 2017;2;3;10;50;0.641;0.613;0.390;0.333;1;LSTM-1sample-3ch;5120;25;50;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

          0       0.36      0.43      0.39    805290
          1       0.00      0.00      0.00        90
          2       0.93      0.61      0.74  11477700
          3       0.11      0.35      0.17    457290
          4       0.57      0.80      0.67    905010
          5       0.25      0.71      0.37   1008060
          6       0.00      0.00      0.00         0

avg / total       0.80      0.61      0.67  14653440
";69.25;14 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13];(26361000, 3);"[[  5.30e-01   0.00e+00   3.40e-01   2.41e-03   2.26e-04   1.28e-01
    0.00e+00]
 [  2.50e-01   0.00e+00   4.88e-01   1.70e-03   1.37e-03   2.59e-01
    0.00e+00]
 [  3.04e-02   9.69e-06   9.05e-01   9.77e-03   6.34e-03   4.82e-02
    0.00e+00]
 [  1.04e-02   0.00e+00   6.71e-01   1.22e-01   1.91e-01   5.77e-03
    0.00e+00]
 [  4.61e-03   0.00e+00   1.98e-01   1.22e-01   6.74e-01   1.33e-03
    0.00e+00]
 [  3.86e-02   1.08e-05   4.91e-01   2.87e-04   3.08e-04   4.69e-01
    0.00e+00]
 [  5.47e-01   0.00e+00   3.40e-01   1.06e-02   9.55e-03   9.22e-02
    0.00e+00]]";0.90746;"[[  3.59e-01   0.00e+00   5.86e-01   4.40e-03   4.65e-04   5.08e-02
    0.00e+00]
 [  2.00e-01   0.00e+00   7.01e-01   2.76e-03   3.15e-04   9.64e-02
    0.00e+00]
 [  2.91e-02   0.00e+00   9.30e-01   1.20e-02   4.69e-03   2.46e-02
    0.00e+00]
 [  1.35e-02   0.00e+00   7.73e-01   1.09e-01   1.00e-01   3.48e-03
    0.00e+00]
 [  7.23e-03   0.00e+00   2.60e-01   1.59e-01   5.73e-01   7.40e-04
    0.00e+00]
 [  2.15e-02   3.10e-05   7.30e-01   4.14e-04   2.17e-04   2.48e-01
    0.00e+00]
 [  5.88e-01   0.00e+00   2.99e-01   4.50e-03   1.70e-02   9.12e-02
    0.00e+00]]";1.06694;1e-05
Sun Feb 12 16:34:29 2017;13;3;25;2;0.427;0.264;0.218;0.153;3000;LSTM-1sample-3ch;32;25;5;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.14      0.10      0.11       102
        1.0       0.02      0.02      0.02        60
        2.0       0.50      0.37      0.42       465
        3.0       0.11      0.27      0.16        45
        4.0       0.04      0.19      0.06        26
        5.0       0.23      0.25      0.24       173
        6.0       0.11      0.04      0.05        57

avg / total       0.32      0.26      0.28       928
";0.03;2 in [0 1];(979, 9000);"[[ 0.26  0.07  0.51  0.04  0.    0.08  0.04]
 [ 0.07  0.12  0.6   0.04  0.01  0.14  0.02]
 [ 0.05  0.07  0.71  0.03  0.    0.11  0.03]
 [ 0.11  0.11  0.5   0.16  0.01  0.09  0.01]
 [ 0.    0.09  0.36  0.09  0.09  0.    0.36]
 [ 0.05  0.12  0.58  0.05  0.02  0.15  0.03]
 [ 0.    0.    0.5   0.    0.    0.5   0.  ]]";1.86896;"[[ 0.14  0.04  0.46  0.03  0.05  0.22  0.07]
 [ 0.03  0.02  0.61  0.03  0.02  0.19  0.1 ]
 [ 0.13  0.06  0.5   0.03  0.02  0.18  0.09]
 [ 0.12  0.1   0.47  0.11  0.01  0.12  0.06]
 [ 0.11  0.11  0.47  0.06  0.04  0.17  0.05]
 [ 0.1   0.05  0.53  0.05  0.04  0.23  0.01]
 [ 0.06  0.11  0.5   0.    0.06  0.17  0.11]]";1.91277;1e-05
Sun Feb 12 16:34:34 2017;3;3;50;100;0.660;0.599;0.507;0.397;3000;LSTM-1sample-3ch;5120;25;50;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

          0       0.47      0.45      0.46   1843590
          1       0.07      0.17      0.10    442170
          2       0.77      0.65      0.70  16879170
          3       0.23      0.36      0.28   2316780
          4       0.50      0.52      0.51   1937430
          5       0.61      0.66      0.63   5876760
          6       0.06      0.18      0.09     87780

avg / total       0.64      0.60      0.62  29383680
";322.15;"31 in [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 33 34 35 36 37 38 39 40 41 42 43
 44 45 46 47 48 49]";(61125000, 3);"[[  7.03e-01   5.84e-02   1.53e-01   7.57e-03   1.79e-03   6.85e-02
    8.35e-03]
 [  1.67e-01   1.66e-01   4.07e-01   1.44e-02   6.05e-03   2.30e-01
    9.99e-03]
 [  1.29e-02   8.37e-03   7.80e-01   3.96e-02   1.75e-02   1.40e-01
    1.19e-03]
 [  7.75e-03   2.76e-03   4.80e-01   3.14e-01   9.87e-02   9.56e-02
    1.57e-03]
 [  3.40e-03   1.03e-03   1.69e-01   1.85e-01   6.09e-01   3.18e-02
    6.41e-04]
 [  8.36e-03   1.24e-02   2.15e-01   2.29e-02   7.93e-03   7.32e-01
    1.40e-03]
 [  1.57e-01   8.24e-02   4.27e-01   2.85e-02   1.16e-02   1.81e-01
    1.13e-01]]";0.75737;"[[ 0.47  0.05  0.42  0.01  0.    0.03  0.01]
 [ 0.19  0.07  0.53  0.03  0.01  0.16  0.02]
 [ 0.03  0.01  0.77  0.06  0.02  0.11  0.  ]
 [ 0.03  0.01  0.58  0.23  0.08  0.06  0.  ]
 [ 0.02  0.01  0.27  0.18  0.5   0.02  0.  ]
 [ 0.02  0.01  0.29  0.03  0.04  0.61  0.  ]
 [ 0.36  0.08  0.39  0.03  0.01  0.08  0.06]]";1.18050;1e-05
Sun Feb 12 16:35:41 2017;14;3;25;2;0.353;0.258;0.224;0.138;3000;LSTM-1sample-3ch;32;25;5;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.03      0.04      0.03        56
        1.0       0.16      0.13      0.15       142
        2.0       0.31      0.59      0.41       248
        3.0       0.12      0.08      0.10       109
        4.0       0.00      0.00      0.00        52
        5.0       0.34      0.24      0.28       296
        6.0       0.00      0.00      0.00        57

avg / total       0.22      0.26      0.23       960
";0.03;2 in [0 1];(956, 9000);"[[ 0.14  0.15  0.32  0.11  0.08  0.11  0.09]
 [ 0.1   0.23  0.44  0.15  0.    0.1   0.  ]
 [ 0.03  0.14  0.61  0.06  0.04  0.1   0.02]
 [ 0.07  0.19  0.39  0.14  0.06  0.13  0.02]
 [ 0.05  0.11  0.48  0.08  0.12  0.08  0.08]
 [ 0.04  0.25  0.27  0.07  0.02  0.33  0.03]
 [ 0.    0.17  0.67  0.11  0.    0.06  0.  ]]";1.89688;"[[ 0.03  0.25  0.18  0.05  0.01  0.42  0.05]
 [ 0.09  0.16  0.2   0.16  0.02  0.27  0.1 ]
 [ 0.06  0.12  0.31  0.1   0.07  0.29  0.05]
 [ 0.04  0.07  0.32  0.12  0.12  0.3   0.03]
 [ 0.    0.27  0.27  0.18  0.    0.27  0.  ]
 [ 0.06  0.18  0.18  0.14  0.04  0.34  0.07]
 [ 0.    0.    0.    0.    0.    1.    0.  ]]";1.88809;1e-05
Sun Feb 12 16:35:48 2017;15;3;25;2;0.336;0.203;0.157;0.148;3000;LSTM-1sample-3ch;32;25;5;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.09      0.07      0.08        94
        1.0       0.13      0.08      0.10        95
        2.0       0.30      0.39      0.34       265
        3.0       0.10      0.09      0.09       107
        4.0       0.22      0.24      0.23       123
        5.0       0.16      0.14      0.15       212
        6.0       0.06      0.03      0.04        32

avg / total       0.19      0.20      0.19       928
";0.03;2 in [0 1];(979, 9000);"[[ 0.05  0.11  0.34  0.03  0.13  0.32  0.03]
 [ 0.03  0.13  0.5   0.01  0.04  0.27  0.02]
 [ 0.06  0.12  0.52  0.02  0.03  0.23  0.02]
 [ 0.11  0.09  0.49  0.04  0.09  0.12  0.05]
 [ 0.09  0.27  0.    0.18  0.18  0.27  0.  ]
 [ 0.07  0.08  0.48  0.02  0.04  0.27  0.04]
 [ 0.    0.5   0.    0.    0.    0.5   0.  ]]";1.89217;"[[ 0.09  0.09  0.18  0.11  0.12  0.36  0.04]
 [ 0.08  0.13  0.23  0.16  0.16  0.23  0.02]
 [ 0.09  0.09  0.3   0.11  0.14  0.24  0.02]
 [ 0.12  0.1   0.27  0.1   0.09  0.29  0.05]
 [ 0.09  0.08  0.32  0.09  0.22  0.14  0.07]
 [ 0.11  0.14  0.33  0.15  0.09  0.16  0.03]
 [ 0.28  0.    0.11  0.06  0.    0.5   0.06]]";1.91898;1e-05
Sun Feb 12 16:35:55 2017;16;3;25;2;0.413;0.323;0.240;0.122;3000;LSTM-1sample-3ch;32;25;5;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.01      0.02      0.02        51
        1.0       0.08      0.18      0.11        49
        2.0       0.59      0.49      0.53       561
        3.0       0.01      0.04      0.02        23
        4.0       0.18      0.02      0.04        81
        5.0       0.11      0.16      0.13       141
        6.0       0.00      0.00      0.00        54

avg / total       0.38      0.32      0.34       960
";0.02;2 in [0 1];(956, 9000);"[[ 0.22  0.05  0.54  0.03  0.08  0.04  0.04]
 [ 0.08  0.06  0.66  0.02  0.08  0.06  0.03]
 [ 0.05  0.03  0.82  0.02  0.01  0.04  0.03]
 [ 0.06  0.05  0.61  0.13  0.06  0.08  0.02]
 [ 0.06  0.02  0.62  0.02  0.14  0.11  0.02]
 [ 0.05  0.09  0.49  0.06  0.04  0.25  0.03]
 [ 0.06  0.06  0.44  0.06  0.    0.33  0.06]]";1.86021;"[[ 0.01  0.07  0.59  0.05  0.01  0.12  0.14]
 [ 0.06  0.08  0.54  0.02  0.11  0.15  0.04]
 [ 0.04  0.05  0.59  0.02  0.08  0.17  0.05]
 [ 0.07  0.04  0.62  0.01  0.01  0.16  0.08]
 [ 0.    0.    0.64  0.    0.18  0.09  0.09]
 [ 0.09  0.04  0.58  0.02  0.12  0.11  0.04]
 [ 0.    0.    1.    0.    0.    0.    0.  ]]";1.87947;1e-05
Sun Feb 12 16:35:59 2017;17;3;25;2;0.348;0.161;0.150;0.116;3000;LSTM-1sample-3ch;32;25;5;/home/simon/sleep/;0;<class 'chainer.links.connection.lstm.LSTM'>;[0 1 2 3 4 5 6];"             precision    recall  f1-score   support

        0.0       0.11      0.07      0.09       107
        1.0       0.00      0.00      0.00        43
        2.0       0.26      0.36      0.30       244
        3.0       0.07      0.08      0.07        84
        4.0       0.14      0.22      0.17        88
        5.0       0.11      0.18      0.14       124
        6.0       0.28      0.02      0.04       238

avg / total       0.19      0.16      0.14       928
";0.01;2 in [0 1];(979, 9000);"[[ 0.05  0.04  0.42  0.04  0.04  0.3   0.11]
 [ 0.06  0.05  0.4   0.09  0.09  0.18  0.13]
 [ 0.03  0.01  0.6   0.04  0.08  0.14  0.1 ]
 [ 0.01  0.03  0.51  0.07  0.05  0.12  0.2 ]
 [ 0.    0.    0.55  0.    0.09  0.27  0.09]
 [ 0.04  0.03  0.5   0.1   0.07  0.17  0.1 ]
 [ 0.    0.    0.    0.5   0.    0.    0.5 ]]";1.89365;"[[ 0.11  0.08  0.32  0.    0.05  0.14  0.3 ]
 [ 0.06  0.    0.32  0.02  0.1   0.15  0.35]
 [ 0.12  0.03  0.26  0.1   0.08  0.13  0.29]
 [ 0.17  0.05  0.19  0.07  0.15  0.15  0.22]
 [ 0.11  0.12  0.2   0.16  0.14  0.15  0.12]
 [ 0.1   0.03  0.31  0.1   0.07  0.11  0.27]
 [ 0.11  0.06  0.28  0.11  0.06  0.11  0.28]]";1.92951;1e-05
